class_name,file,total_words,A1,A2,B1,B2,C1
10A1,1_prob.csv,178,65.77181208,12.08053691,13.42281879,8.053691275,0.67114094
10A1,2_prob.csv,152,72,10.4,6.4,8.8,2.4
10A1,4_prob.csv,278,64.19753086,9.053497942,16.87242798,6.58436214,3.29218107
10A1,5_prob.csv,154,61.98347107,13.2231405,17.3553719,5.785123967,1.652892562
10A1,6_prob.csv,210,71.83908046,10.34482759,12.64367816,3.448275862,1.724137931
10A1,7_prob.csv,66,73.68421053,10.52631579,14.03508772,1.754385965,0
10A1,8_prob.csv,160,67.83216783,14.68531469,8.391608392,7.692307692,1.398601399
10A1,9_prob.csv,98,63.38028169,12.67605634,8.450704225,15.49295775,0
10A1,10_prob.csv,153,62.18487395,19.32773109,10.08403361,6.722689076,1.680672269
10A1,11_prob.csv,205,73.11827957,10.21505376,12.3655914,4.301075269,0
10A1,13_prob.csv,177,62.16216216,13.51351351,20.27027027,3.378378378,0.675675676
10A1,14_prob.csv,173,72.02797203,13.98601399,8.391608392,4.895104895,0.699300699
10A1,15_prob.csv,131,63.15789474,10.52631579,15.78947368,10.52631579,0
10A1,16_prob.csv,172,63.38028169,11.26760563,15.49295775,6.338028169,3.521126761
10A1,17_prob.csv,182,59.72222222,11.80555556,14.58333333,11.11111111,2.777777778
10A1,18_prob.csv,131,73.07692308,11.53846154,8.653846154,6.730769231,0
10A1,19_prob.csv,70,70,11.66666667,10,5,3.333333333
10A1,20_prob.csv,146,69.23076923,9.401709402,12.82051282,7.692307692,0.854700855
10A1,21_prob.csv,119,62.06896552,10.34482759,18.3908046,6.896551724,2.298850575
10A1,22_prob.csv,78,71.42857143,11.11111111,12.6984127,3.174603175,1.587301587
10A1,23_prob.csv,169,69.71830986,13.38028169,13.38028169,2.816901408,0.704225352
10A1,24_prob.csv,143,65.11627907,18.60465116,10.07751938,5.426356589,0.775193798
10A1,25_prob.csv,133,68.18181818,7.272727273,13.63636364,10,0.909090909
10A1,26_prob.csv,170,73.94366197,7.746478873,9.154929577,7.746478873,1.408450704
10A1,27_prob.csv,315,70.84870849,12.54612546,11.80811808,4.42804428,0.36900369
10A1,29_prob.csv,117,58.16326531,15.30612245,11.2244898,13.26530612,2.040816327
10A1,30_prob.csv,116,64.77272727,12.5,18.18181818,4.545454545,0
10A1,31_prob.csv,110,75.82417582,5.494505495,15.38461538,3.296703297,0
10A1,32_prob.csv,224,63.78378378,9.72972973,16.21621622,9.189189189,1.081081081
10A1,34_prob.csv,73,64.28571429,14.28571429,14.28571429,7.142857143,0
10A1,35_prob.csv,176,64.82758621,13.79310345,15.17241379,4.827586207,1.379310345
11A1,36_prob.csv,263,44.79166667,15.625,18.22916667,19.79166667,1.5625
11A1,37_prob.csv,176,60.58394161,18.24817518,12.40875912,7.299270073,1.459854015
11A1,38_prob.csv,140,56.52173913,21.73913043,11.30434783,10.43478261,0
11A1,39_prob.csv,120,51.68539326,22.47191011,13.48314607,10.11235955,2.247191011
11A1,40_prob.csv,405,59.1503268,14.70588235,14.37908497,9.803921569,1.960784314
11A1,41_prob.csv,188,58.78378378,18.91891892,11.48648649,10.13513514,0.675675676
11A1,42_prob.csv,319,60.16260163,13.82113821,17.4796748,8.130081301,0.406504065
11A1,43_prob.csv,508,59.10290237,11.34564644,14.77572559,10.81794195,3.957783641
11A1,44_prob.csv,315,66.53543307,12.20472441,13.38582677,7.874015748,0
11A1,45_prob.csv,467,67.97900262,8.661417323,12.5984252,7.611548556,3.149606299
11A1,46_prob.csv,185,60.13071895,20.91503268,13.07189542,5.882352941,0
11A1,47_prob.csv,319,56.89655172,17.67241379,12.06896552,12.06896552,1.293103448
11A1,48_prob.csv,194,67.08860759,15.82278481,12.02531646,5.063291139,0
11A1,49_prob.csv,246,60.8040201,16.58291457,12.56281407,9.547738693,0.502512563
11A1,50_prob.csv,164,64.44444444,15.55555556,9.62962963,10.37037037,0
11A1,51_prob.csv,218,57.22543353,12.71676301,14.45086705,13.87283237,1.734104046
11A1,52_prob.csv,344,71.62629758,11.07266436,15.57093426,1.384083045,0.346020761
11A1,53_prob.csv,209,62.65822785,15.18987342,8.860759494,10.12658228,3.164556962
11A1,54_prob.csv,123,57.73195876,20.6185567,17.5257732,4.12371134,0
11A1,55_prob.csv,500,68.7804878,11.70731707,11.46341463,5.12195122,2.926829268
11A1,56_prob.csv,199,45.28301887,22.01257862,13.83647799,17.61006289,1.257861635
11A1,57_prob.csv,280,64.70588235,12.66968326,12.21719457,8.14479638,2.262443439
