class_name,file,total_words,0-50%,50-70%,70-85%,85-95%,95-100%
10A1,1_prob.csv,178,3.93258427,7.865168539,10.6741573,18.53932584,58.98876404
10A1,2_prob.csv,152,17.10526316,9.210526316,11.84210526,17.76315789,44.07894737
10A1,4_prob.csv,278,13.30935252,10.79136691,11.8705036,19.0647482,44.96402878
10A1,5_prob.csv,154,18.18181818,12.98701299,14.28571429,13.63636364,40.90909091
10A1,6_prob.csv,210,13.33333333,12.85714286,10.95238095,21.9047619,40.95238095
10A1,7_prob.csv,66,37.87878788,19.6969697,16.66666667,13.63636364,12.12121212
10A1,8_prob.csv,160,22.5,10.625,11.25,18.125,37.5
10A1,9_prob.csv,98,4.081632653,1.020408163,8.163265306,8.163265306,78.57142857
10A1,10_prob.csv,153,11.11111111,14.37908497,15.03267974,21.56862745,37.90849673
10A1,11_prob.csv,205,18.04878049,12.68292683,14.63414634,18.04878049,36.58536585
10A1,13_prob.csv,177,19.7740113,14.12429379,6.214689266,16.38418079,43.50282486
10A1,14_prob.csv,173,18.49710983,11.56069364,15.02890173,20.23121387,34.68208092
10A1,15_prob.csv,131,35.11450382,11.45038168,13.74045802,14.50381679,25.19083969
10A1,16_prob.csv,172,19.76744186,12.20930233,19.18604651,21.51162791,27.3255814
10A1,17_prob.csv,182,19.23076923,13.73626374,16.48351648,15.93406593,34.61538462
10A1,18_prob.csv,131,16.03053435,11.45038168,8.396946565,19.08396947,45.03816794
10A1,19_prob.csv,70,20,15.71428571,12.85714286,15.71428571,35.71428571
10A1,20_prob.csv,146,13.69863014,18.49315068,14.38356164,22.60273973,30.82191781
10A1,21_prob.csv,119,26.05042017,10.92436975,8.403361345,19.32773109,35.29411765
10A1,22_prob.csv,78,19.23076923,11.53846154,15.38461538,19.23076923,34.61538462
10A1,23_prob.csv,169,31.95266272,22.4852071,11.83431953,15.97633136,17.75147929
10A1,24_prob.csv,143,32.86713287,12.58741259,11.88811189,16.08391608,26.57342657
10A1,25_prob.csv,133,33.83458647,16.54135338,16.54135338,11.27819549,21.80451128
10A1,26_prob.csv,170,19.41176471,10.58823529,13.52941176,20,36.47058824
10A1,27_prob.csv,315,14.28571429,8.888888889,13.65079365,17.14285714,46.03174603
10A1,29_prob.csv,117,18.8034188,14.52991453,7.692307692,18.8034188,40.17094017
10A1,30_prob.csv,116,7.75862069,12.93103448,7.75862069,18.96551724,52.5862069
10A1,31_prob.csv,110,17.27272727,13.63636364,10,21.81818182,37.27272727
10A1,32_prob.csv,224,14.73214286,9.375,14.73214286,20.98214286,40.17857143
10A1,34_prob.csv,73,10.95890411,4.109589041,16.43835616,27.39726027,41.09589041
10A1,35_prob.csv,176,20.45454545,10.79545455,11.93181818,21.59090909,35.22727273
11A1,36_prob.csv,263,6.08365019,9.505703422,6.08365019,11.78707224,66.53992395
11A1,37_prob.csv,176,10.22727273,8.522727273,13.63636364,18.75,48.86363636
11A1,38_prob.csv,140,18.57142857,6.428571429,13.57142857,17.14285714,44.28571429
11A1,39_prob.csv,120,10,5,10.83333333,8.333333333,65.83333333
11A1,40_prob.csv,405,8.888888889,8.395061728,7.901234568,18.02469136,56.79012346
11A1,41_prob.csv,188,13.82978723,9.042553191,7.978723404,13.82978723,55.31914894
11A1,42_prob.csv,319,10.03134796,5.329153605,8.150470219,18.49529781,57.99373041
11A1,43_prob.csv,508,12.99212598,7.874015748,9.645669291,21.25984252,48.22834646
11A1,44_prob.csv,315,3.492063492,3.80952381,6.031746032,11.11111111,75.55555556
11A1,45_prob.csv,467,9.850107066,6.423982869,11.13490364,17.77301927,54.81798715
11A1,46_prob.csv,185,7.567567568,5.945945946,5.405405405,12.43243243,68.64864865
11A1,47_prob.csv,319,5.956112853,5.956112853,7.210031348,14.10658307,66.77115987
11A1,48_prob.csv,194,12.88659794,12.88659794,11.34020619,19.58762887,43.29896907
11A1,49_prob.csv,246,6.097560976,8.130081301,7.317073171,13.00813008,65.44715447
11A1,50_prob.csv,164,4.87804878,2.43902439,6.707317073,12.19512195,73.7804878
11A1,51_prob.csv,218,12.8440367,12.3853211,9.633027523,18.34862385,46.78899083
11A1,52_prob.csv,344,8.720930233,11.04651163,10.1744186,18.31395349,51.74418605
11A1,53_prob.csv,209,23.92344498,8.133971292,9.090909091,16.26794258,42.58373206
11A1,54_prob.csv,123,7.317073171,9.756097561,4.87804878,11.38211382,66.66666667
11A1,55_prob.csv,500,11.6,8.8,12.4,15.6,51.6
11A1,56_prob.csv,199,5.527638191,7.537688442,5.025125628,15.07537688,66.83417085
11A1,57_prob.csv,280,7.142857143,8.571428571,9.642857143,20.71428571,53.92857143
