feature,coefficient_mean,coefficient_std,abs_coefficient_mean,abs_coefficient_std
pro_95%-100%,268812699.260809,135005820.47250894,268812699.260809,135005820.47250894
pro_0%-50%,149312565.10086462,72724468.24888425,149312565.10086462,72724468.24888425
pro_50%-70%,73539174.35704507,35213481.19327587,73539174.35704507,35213481.19327587
pro_85%-95%,68740941.98105852,33451887.837212227,68740941.98105852,33451887.837212227
lex_A1,44967657.91402455,61378643.02907473,67226582.92221911,25410309.496029355
pro_70%-85%,63111300.7334034,32194337.49014584,63111300.7334034,32194337.49014584
lex_A2,27643762.947667144,37610251.191771224,40464966.10563566,17971816.2598788
lex_B2,25841787.072811462,34394526.91582455,38073267.04875074,14344471.093497107
lex_B1,21353519.310814016,29919909.576825302,31724515.720956605,14391346.379700122
lex_C1,8272588.041302776,10883777.683418123,11848558.273615092,5340022.596804875
lex_MSTTR,0.20722566520834879,0.09985391383811155,0.20722566520834879,0.09985391383811155
gra_error_rate,-0.017689225169947007,0.18920617980004983,0.151988370466899,0.08552504537818716
gra_total_errors,0.09577694190075475,0.21825922017832364,0.145925976255166,0.18023769655692604
gra_ratio_error_sentences,-0.033851309848626124,0.1392414970712929,0.12213299691358144,0.046636866434971475
flu_pause_ratio,-0.11177060679563736,0.05985291966752463,0.11177060679563736,0.05985291966752463
lex_TTR,-0.09403366037083102,0.02667746561607978,0.09403366037083102,0.02667746561607978
flu_speech_rate,0.05701419710316249,0.025265190663170012,0.05701419710316249,0.025265190663170012
